DBA,ZIPCODE
Domino's Pizza,10029
Starbucks,10075
375 Chicken 'N Fries,11216
Starbucks,11201
Popeyes,11203
Dunkin,10469
Subway,10038
Chirping Chicken,10028
Kennedy Chicken And Pizza,10459
Crown Fried Chicken,11207
Subway,10032
Sweet Chick,11101
Burger King,11361
Subway,10003
Kfc,11368
Peppa's Jerk Chicken,11216
Starbucks,10028
Kennedy Fried Chicken,11418
Dunkin',10019
Dunkin,11358
Starbucks,11214
Wendy's,10018
Taco Bell,10033
Subway,11237
Crown Fried Chicken,11413
375 Chicken,11201
Crown Fried Chicken & Pizza,10035
Popeyes,11236
Subway,11691
Taco Bell,10003
Dunkin',10306
"Dunkin', Baskin Robbins",10457
Halal Chick's,10025
Burger King,10461
Chick-Fil-A,11217
Subway,10040
Kfc,11212
Dunkin',11234
Subway,10462
Kennedy Fried Chicken,11418
Panera Bread #6309,10018
Kfc,11234
Subway,11434
Texas Chicken & Burgers,11235
Starbucks,10001
Mad For Chicken,11375
Kfc,11368
Dunkin',10021
Fluffies Hot Chicken Madison Llc,10016
Taco Bell,11433
Burger King,10451
Dunkin Donuts,11212
Dunkin,10018
Taco Bell,10003
Inca Chicken,11237
Burger King,11103
Burger King,11419
Zhengxin Chicken Steak,11354
Kennedy Fried Chicken,10466
Taco Bell,10040
Starbucks Coffee #49450,10475
Chipotle Mexican Grill #3056,11204
Papa John's,11413
Subway,10467
Subway,10025
Dunkin,10309
Subway,11207
Moonlite Grill & Chicken,11372
Dunkin,10003
Subway,10025
John's Fried Chicken,10034
Kfc,11373
Kennedy Fried Chicken,11207
Subway,10032
"Dunkin', Baskin Robbins",10457
Subway,10019
Dunkin/Jimmy John's,10001
Papa John's,10467
Subway,10466
Dunkin,10011
Wendy's,10010
Crown Fried Chicken,10462
Subway #62918,11204
Starbucks,10309
Starbucks #50611,10023
Taco Bell Cantina #034646,10011
Starbucks,10016
Popeyes,11237
Dunkin' / 'Baskin Robbins,11106
Sweet Chick,11249
Starbucks,11375
Dunkin,11209
Dunkin,10017
Pelicana Chicken,11104
Chipotle Mexican Grill,10007
Papa John's,11229
Burger King,11369
Burger King,11368
Chipotle Mexican Grill #3056,10461
Chipotle Mexican Grill,10007
Wendy's,11430
Mr. Chicken And Mrs. Tea,11417
Wendy's Restaurant #19406,10458
Starbucks #48990,10009
Chipotle Mexican Grill,10019
Chipotle Mexican Grill #3056,11213
Dunkin,11231
Wendys,10462
Blazin' Chicken & Gyro,11226
Taco Bell,11209
Chipotle Mexican Grill #3056,10459
Shake Shack,10314
Starbucks,10018
Butterflied Chicken,10036
Dunkin,10027
Starbucks,10001
Dunkin,11203
Kennedy Fried Chicken,10456
Dunkin,11237
Subway,10002
Starbucks,10014
Starbucks,10011
"Dunkin',' Baskin Robbins",11230
Papa John's Pizza,11373
"Burger King, Popeyes",11209
Starbucks,11217
Starbucks Coffee,10026
"Crown Fried Chicken, Pizza & Coffee Shop",11208
Dunkin,11235
Starbucks,10011
Burger King,10036
"Dunkin',' Baskin Robbins",10034
Dunkin,11218
Dunkin,11211
Dunkin,10459
Dominos,10306
Texas Chicken & Burgers,11435
Dunkin,10461
Dunkin,10013
New Texas Fried Chicken,11207
Pelicana Chicken,11222
Papa John's,11412
"Dunkin',' Baskin Robbins",11435
Subway,10029
Popeyes,11213
Kfc,10027
Starbucks,11103
Krispy Fried Chicken & Pizza,10452
Wendy's,10463
Dunkin' / Baskin Robbins,11223
Shake Shack,10016
Burger King,11206
Texas Chicken & Burgers,11422
"Burger King, Popeyes",11234
Kfc,10463
Texas Chicken & Burgers,10454
Subway,11370
Chick Rocks,11354
Panda Express #2845,11432
"Dunkin',' Baskin Robbins",11419
Dunkin' / Baskin-Robbins,11105
Apu Kennedy Fried Chicken,11434
Chipotle Mexican Grill,10010
Dunkin Donuts,10011
Dunkin',11212
Taco Bell,10460
Kfc,11373
Five Guys Famous Burgers And Fries,10465
Dunkin',11354
Burger King,11201
Chipotle Mexican Grill,10018
Starbucks,11426
"Dunkin', Baskin Robbins",11435
Texas Chicken And Burgers,11230
Burger King,10467
Charles Pan-Fried Chicken,10039
Kenedy Chicken & Pizza,10472
Chick-Fill-A,10001
Starbucks,11418
Pelicana Chicken,11104
Dunkin,10461
Dunkin,10029
Starbucks Corporation,10004
Dunkin,10314
Burger King,11236
Kennedy Fried Chicken & Salad Bar,10467
Kennedy Fried Chicken,10462
Kennedy Fried Chicken,10453
Burger King,11373
Wendy's,10036
Starbucks,11201
Kennedy Fried Chicken,11420
Kfc,11421
Wendy's,10032
Dunkin',10025
Dunkin' Donuts,10036
"Dunkin', Baskin Robbins",11413
Popeyes,11217
Texas Chicken & Burgers,10454
Wendy's,11203
Subway,10467
Papa John's,11226
Crown Fried Chicken,11238
Little Caesars,10470
Dunkin,11374
Panda Express,11373
Starbucks Coffee,11373
Subway,10003
Starbucks Coffee,10036
Popeyes Louisiana Kitchen,11417
Little Caesars,10452
Dunkin,10470
Dunkin,10312
"Burger King, Popeyes",11366
Dunkin,10464
Domino's,11212
