DBA,ZIPCODE
Starbucks,11362
Kew Gardens Chicken,11415
Dunkin,11354
Subway,11237
Kfc,11205
Dunkin Donuts,11369
Dunkin,10467
Chick'n Go,10306
Subway,10305
Starbucks,10005
Dunkin,10475
Dunkin,11411
Taco Bell,10003
Subway,11205
Taco Bell Cantina #036012,10018
Starbucks Coffee,10028
Wendy's,10314
Subway,10002
375 Chicken 'N Fries,11226
Kennedy Chicken,10457
Dunkin,10027
Dunkin' Donuts,10036
Panera Bread,11360
Kennedy Fried Chicken & Pizza,10451
Kennedy Fried Chicken,10456
Rico's Chicken Pollos A La Brasa,11355
Kennedy Fried Chicken,10457
Dunkin,10005
Starbucks,10019
Papa John's,11214
Dunkin,11375
Crown Fried Chicken,11207
Subway,10038
Wendy's,11236
Dunkin',10025
Dunkin',10018
Starbucks,10011
Wendy's,10314
The Graham Pizza & Chicken,11206
Taco Bell,11220
"Crown Fried Chicken, Pizza & Coffee Shop",11208
Kfc,11377
Starbucks,10462
Wendy's,10004
Dunkin,10464
Subway,11212
Starbucks,10003
Kennedy Fried Chicken,11418
Wendy's,10455
Dunkin,11101
Texas Chicken & Burgers,10454
La Ruta Del Taco,11421
Burger King,10451
Dunkin / Baskin Robbins,10025
Starbucks,11365
Kennedy Chicken Grill Seafood,11412
Burger King,11419
Topaze Restaurant & Jerk Chicken,11234
Little Caesars,10452
Taco Bell,11211
Mister Chicken Ii,11101
Crown Fried Chicken,10031
Crown Fried Chicken,11239
Dunkin,10472
Taco Bell,11224
Domino's,11207
Crown Fried Chicken Grill & Salad,11208
Dunkin,10305
Dunkin' / 'Baskin Robbins,10014
Chicken Stop,11201
Starbucks,10003
"Dunkin',' Baskin Robbins",10034
Kennedy Fried Chicken,10456
Dominos,11377
Dunkin',10011
Dunkin,10033
Subway,11201
Kennedy Fried Chicken,10467
Starbucks-Bayplaza Mall,10475
Dunkin,10038
Subway,10467
The Chicken Shack,11106
Kennedy Chicken,11207
Halal Chicks & Platters,10032
Dunkin,11235
Five Guys,11377
Dunkin,11436
Tkk Fried Chicken,11354
Bb.q Chicken 3rd Avenue,10016
Kennedy Fried Chicken,10467
Burger King,11225
Sabba's Chicken,10039
Subway,11204
Domino's,11212
Castle Chicken Halal Kitchen,10453
Dunkin,11357
Dunkin,10005
Starbucks,10016
Burger King,10007
Subway,10305
Burger King,11368
Starbucks,10006
Kennedy Chicken,10002
Burger King,11412
Domino's,10467
Papa John's,11211
Popeyes,10460
Dunkin',10036
Mad For Chicken,11104
Domino's,10022
Popeyes Louisiana Kitchen,11235
New York Chicken & Grill,10466
Kennedy Fried Chicken,10458
Chipotle Mexican Grill,10065
Taco Bell,10029
Chickpea,10121
Burger King,10472
Texas Chicken And Burger,10468
Subway,10462
Subway,11372
Popeyes,10459
Papa John's,10467
Dunkin Pc 364658,10458
Dunkin,10451
Sabba's Chicken,10472
Popeyes,10314
Dunkin,10460
Shake Shack,10017
"Dunkin',' Baskin Robbins",11432
Kennedy Fried Chicken,10472
Sweet Chick,11101
Dunkin,11229
Dunkin,10467
Dunkin' Donuts/Baskin Robbins,10016
Dunkin,10017
Starbucks,10028
Shah's Halal Food/Castle Chicken And Burger,11373
Burger King,10029
Starbucks Coffee Company,10461
Burger King,11225
Taco Bell,11105
Taco Bell,11368
Panda Express,10001
Pelicana Chicken,11104
Starbucks,10025
Starbucks Coffee,10128
Dunkin',11354
Dunkin' Donuts,10018
Crown Fried Chicken,11221
Popeyes,11421
Chick-Fil-A,11422
Dunkin,10467
Popeyes,10466
Starbucks,10039
Chicken Feastin,11221
Dunkin,11211
Blazin' Chicken & Gyro,11226
Dunkin',11213
Starbucks,11426
Texas Hot Chicken And Wings,11432
Popeyes,10002
Krispy Krunchy Chicken,11201
Burger King,11368
Qdoba Mexican Restaurant,10306
Qdoba Mexican Restaurant,10306
Papa John's Pizza,10466
Shake Shack,11217
Chipotle Mexican Grill,10013
Popeyes,10010
Burger King,11354
Popeyes,10466
Popeyes,10002
Domino's,10462
Popeyes,11225
Popeyes Louisiana Kitchen,10001
Popeyes,11206
Starbucks,11373
Subway,11207
Burger King,11427
Popeyes,11413
Popeyes Louisiana Kitchen,11205
Dunkin,11415
Qdoba Mexican Eat,10314
Dunkin,11234
Kennedy Fried Chicken,10456
Jojo Chicken/Lao Jie,11354
Subway,11232
Chipotle Mexican Grill,10003
Dunkin,11101
Papa John's,11226
Dunkin,10003
Dunkin,10465
Popeyes,11421
Dunkin',11223
Dunkin,10304
Subway,10029
Popeyes,10469
Kennedy Chicken,10462
Kfc,11232
Shake Shack,10038
Popeyes Louisiana Kitchen,11224
Yoyo Chicken,11385
Kennedy Fried Chicken,10456
Sonic Drive-In,10307
Texas Chicken & Burgers,11004
Chipotle Mexican Grill,11210
Dunkin,11249
Shake Shack,10025
"Dunkin',' Baskin Robbins",11373
Taco Bell,10468
Kennedy Chicken And Burger,11216
Deli Doroj Fried Chicken And Pizza,11223
Papa John's,10033
"Dunkin', Baskin Robbins",11367
Dunkin',11354
"Dunkin',' Baskin Robbins",11208
Dunkin' Donuts,10038
Starbucks Coffee #678 Hudson,10014
Popeyes,11432
Subway,11423
Dunkin,10018
Palace Fried Chicken & Pizza,11235
Taco Bell,10003
Dunkin,10028
"Tony's Pizza, Jerk Chicken And Fish",11213
Chipotle Mexcian Grill # 2760,11101
Subway,10003
Dunkin,11106
Domino's,11103
Dunkin,11101
"Dunkin', 'Baskin Robbins",11375
Dunkin,10007
Dunkin,10302
Starbucks,10019
Dunkin,11385
Sweet Chick,10002
Kennedy Fried Chicken,11377
Subway,10468
375 Chicken 'N Fries,10035
Popeyes,11221
Domino's,11232
Dunkin',10007
Subway,11354
"Taco Bell, Piattino, Green Leafs",10314
Wendy's,10309
Popeyes,11106
Kennedy Fried Chicken,11207
Starbucks,11356
Kennedy Fried Chicken,10453
Pelicana Chicken,11358
Dunkin,11211
Kennedy Chicken,10002
Kennedy Chicken & Pizza,10466
Taco Bell,10014
Domino's,10031
Us Fried Chicken & Pizza,11231
Kennedy Fried Chicken,10458
Wendy's,11203
Texas Fried Chicken,10026
Dunkin,10472
Mad For Chicken,11103
Texas Chicken And Burgers,11415
Kennedy Chicken & Grill,11226
"Dunkin', Baskin Robbins",11435
Starbucks Coffee #58455,10036
Papa John's,10462
Kennedy Fried Chicken,10474
Dunkin,11237
Wendy's,10017
Dunkin' / 'Baskin Robbins,10014
Dunkin,11419
Taco Bell,11370
Papa John's Pizza,11433
Mad For Chicken,11375
Medina Fried Chicken & Indian Cuisine,11416
Papa Johns Pizza,10306
Kennedy Fried Chicken And Pizza,10456
Taco Bell,10019
Panda Express,10027
"Tony's Pizza, Jerk Chicken And Fish",11213
Subway,10001
Taco Bell,10453
Popeyes,11421
Dunkin,10454
Andrea's Chicken,11378
Bbq Chicken,11358
Chipotle Mexican Grill,11373
Speedy Tacos And Chicken,10463
Dunkin',10011
Kennedy Chicken & Burgers,10029
Chipotle Mexican Grill,10016
Subway,11226
Chicken Shack,11374
Burger King,10006
"Dunkin', Baskin Robbins",10010
Dunkin,10460
Starbucks,10028
786 Crown Chicken & Pizza,11233
Big New York Fried Chicken,11691
Subway,10019
Dunkin,10458
Dunkin,10021
Blazin' Chicken & Gyro,11226
Dominos,11225
Dunkin,11385
Dunkin,11204
Popeyes,10003
Dunkin,11236
Popeyes,10010
Subway,11211
Starbucks Coffee #678 Hudson,10014
Starbucks,10128
Dunkin'/Baskin Robbins,10016
Chick-Fil-A,10028
Popeyes,11214
Dunkin,10314
Popeyes,11354
Tex's Chicken & Burgers,11226
Flamin' Chicken & Gyro,11385
Halal Royal Crown Chicken & Pizza,11233
Halal Chicks & Platters,10032
Domino's,10469
Papa John's Pizza,10025
Taco Bell,10036
Chipotle Mexican Grill #2879,11238
Crown Fried Chicken,11432
Dunkin / Baskin Robbins,11362
Dunkin,10461
Domino's,10011
Dunkin',10467
Tex*S Chicken & Burgers,11214
Subway,10462
Dunkin,10458
Subway,10312
Dunkin,11209
Popeyes Louisiana Kitchen,10457
Subway,10305
Starbucks,11229
Dunkin,10011
Tko Chicken & Ribs,11234
Starbucks,10010
Dunkin',10473
New Texas Fried Chicken,11207
Kennedy Fried Chicken & Pizza,10467
Subway,11212
Chipotle Mexican Grill,10065
Popeyes,10014
Dunkin',10469
Dunkin',10019
Wendy's,10475
Popeyes,11213
Dunkin,11210
Starbucks,10016
Dunkin,11239
"Dunkin',' Baskin Robbins",11208
Taco Bell,11221
New Rio Fried Chicken & Pizza,11432
Little Caesars,11379
Subway / Star Mini Mart,11354
Dunkin,11211
Popeyes,10040
Chipotle Mexican Grill #3426,10461
Dunkin,10472
Dunkin Donuts,10004
Chipotle Mexican Grill #3477,10033
Popeyes,11103
Dunkin' / Baskin Robbins,11385
Dunkin,11214
Starbucks,10038
Domino's,11203
Dominos,11224
Dunkin,10023
Subway,11220
Taco Bell,11414
Popeyes,10465
Kew Gardens Chicken,11415
Chipotle Mexican Grill,10011
Dunkin',10016
Starbucks Coffee,10031
Chipotle Mexican Grill,10016
Subway,11423
Subway,11226
"Dunkin', Baskin Robbins",11421
Texas Chicken & Burger,11226
Kennedy Chicken Pizza & Burger,10468
Dunkin',10029
"Dunkin', Baskin Robbins",11367
Starbucks,11355
Dunkin',11354
Dunkin,11375
Mama's Fried Chicken,10039
Crown Fried Chicken,10031
Dunkin',11224
Dunkin' / Popeyes,11221
"Burger King, Popeyes",11414
Wendy's,10314
Kfc,10001
Dunkin,11373
Burger King,10459
Domino's Pizza,10029
Texas Chicken & Burgers,11224
Peppa's Jerk Chicken,11226
Dunkin,11215
Popeyes,11236
Dunkin,11413
Dunkin'/Baskin Robbins,10462
Burger King,11210
Subway,10460
Dunkin,10465
Chick It Out,11106
Subway,11417
Starbucks,10023
Shake Shack #1340,10022
Dunkin,10013
New Rio Fried Chicken & Pizza,11432
Chick It Out,11106
Taco Bell,10029
Crown Fried Chicken,10462
Subway,11366
Dunkin,11385
Starbucks Coffee # 26528,10018
Starbucks Coffee #49450,10475
Popeyes,10451
Bb.q Chicken & Pub,11103
Starbucks Pickup,10003
Shake Shack,10028
Shake Shack,11217
Kfc,10027
Dunkin',10301
Crown Fried Chicken,11432
Dunkin,10467
Dunkin,10003
Subway,11229
Kennedy Fried Chicken & Pizza,10470
Subway,10027
"Dunkin',' Baskin Robbins",11432
Starbucks,11201
"Taco Bell, Kfc",10031
"Dunkin',' Baskin Robbins",11208
Subway,10466
Dunkin,10017
Us Fried Chicken & Pizza,11225
"Tony's Pizza, Jerk Chicken And Fish",11213
Dunkin,10035
Domino's,11417
Dunkin,11414
Dunkin,11211
Peppa's Jerk Chicken,11226
Dominos,11224
Subway,10028
Chipotle Mexican Grill,10003
Papa John's Pizza,11368
La Casa Del Taco,10302
Dunkin Store #1115,10018
Dunkin,11211
Domino's,11361
Crown Fried Chicken,11432
Chicken Spot,10454
Chipotle Mexican Grill,10012
Taco Bell,10029
Dunkin',10040
Dunkin / Baskin Robbins,11106
Moonlite Grill & Chicken,11372
Subway,10305
Crown Fried Chicken Grill & Salad,11208
Kfc,11234
"Dunkin',' Baskin Robbins",10310
Dunkin,11368
Starbucks,10003
Starbucks,10038
Burger King,10461
Starbucks,10010
Taco Bell,11414
Dunkin,10014
Dunkin Baskin Robbins,11354
"Dunkin',' Baskin Robbins",11432
Kfc / Taco Bell,11222
Popeyes,11222
Crown Fried Chicken Grill & Salad,11208
Kennedy Fried Chicken,11420
Dunkin,10005
Dunkin,10459
Papa John's Pizza,11201
Dunkin,11368
Taco Bell,11358
Taco Bell,10014
Burger King,11434
Kfc,10001
Burger King,10035
"Burger King, Popeyes",10462
Papa John's,11229
Little Caesars,10452
"Taco Bell, Kfc",10031
Starbucks,11201
Domino's,10462
Qdoba Mexican Restaurant,10306
Chicken Rice,10012
Subway,11434
Kennedy Fried Chicken,10453
Starbucks,10005
Chipotle Mexican Grill,10023
Domino's,11373
Dunkin Donuts,10472
Dunkin - Baskin Robbins,10452
Kennedy Chicken And Burger,10466
Subway,10031
Charles Pan-Fried Chicken,10027
Dunkin,10460
Kfc,10467
Dunkin' / 'Baskin-Robbins,11201
Starbucks,10016
Big Arc Chicken,10003
Texas Chicken & Burgers,10454
Dunkin,10458
Chipotle Mexican Grill,10001
Chicken Festival,11105
Little Caesars,11207
New York Fried Chicken,11434
Dunkin,10018
Starbucks Coffee # 77655,10021
Dunkin',10025
Kennedy Fried Chicken,11420
Starbucks,10022
Burger King,10035
"Dunkin',' Baskin Robbins",11421
Dunkin',11212
Chick Masterpiece,11204
Pelicana Chicken,11104
Caravan Chicken,11106
Starbucks Reserve,10118
Starbucks,11217
Wendy's,10309
Starbucks Coffee Company,10461
Starbucks,11432
Dunkin,10007
Dominos,11375
Subway,11361
Charles Pan-Fried Chicken,10027
Texas Chicken & Burgers,10454
Peppa's Jerk Chicken,11216
Dunkin' Donuts,10462
Domino's,11236
Starbucks,10017
Dunkin',11226
Dunkin' Express,11430
Kung Fu Tea & Tkk Fried Chicken,10010
Chipotle Mexican Grill,11373
Popeyes Louisiana Kitchen,10128
Burger King,10461
Domino's,11201
Chickpea,10121
Kfc,11373
Kennedy Fried Chicken,11224
Taco Bell,11101
Burger King,11374
Crown Fried Chicken,11212
Dunkin,11419
Chipotle Mexican Grill,10022
Dunkin,10307
Mad For Chicken,10011
Papa Johns Pizza,10310
Shah's Halal Express & Castle Chicken And Burgers,10471
Texas Chicken & Burgers,11235
Kfc,11212
Chick-Fil-A Queens Center Mall,11373
Burger King,10451
Dunkin,11693
Pelicana Chicken,11358
Popeyes,10451
Papa John's,10462
Kennedy Fried Chicken,10469
Dunkin,11231
Popeyes,11234
Chipotle Mexican Grill,10007
Fried Chicken With The Sauce Express,11203
Bonchon Chicken,11358
Dunkin,10003
Dunkin,11229
Domino's,10032
Starbucks,10013
Nelly's Chicken & Pizza,10032
Wendy's,10314
Subway,11372
Chickpea,10121
Subway,10459
Wendy's,11214
Crown Fried Chicken,11423
Shake Shack,11217
Texas Chicken & Burgers,11419
Dunkin,11211
Dunkin' Baskin,11368
Mad For Chicken,11354
Mister Chicken,11372
Panera Bread,11374
Subway,10025
Starbucks Reserve,10011
Dunkin,11215
Chick-N-Rice,11040
Andrea's Chicken,11378
Popeyes,10010
Papa John's,10455
Starbucks #48990,10009
Starbucks,10001
Aaa Kennedy Fried Chicken,10310
Kfc,11373
Yoyo Chicken,11377
Starbucks,11214
Dunkin,10469
Dunkin,10036
Qdoba,10307
Chicken Feastin,11215
Wendy's,11236
Taco Bell,11372
Dunkin Donuts,10472
Kennedy Fried Chicken,11368
Papa Chicken,11355
Panera Bread,10028
Chick-N-Rice,11040
Burger King,10457
Dunkin,11430
Dunkin,11358
Dunkin,11234
19.Ei / Md Fried Chicken / Cotti Coffee Express,11220
Panera Bread,10475
"Taco Bell, Piattino, Green Leafs",10314
Chick-Fil-A,10036
Shake Shack,11373
Starbucks Coffee #49550,10036
Dunkin',10466
Shake Shack,11375
Chipotle Mexican Grill,11375
Kennedy Fried Chicken,10456
Unidentified Flying Chicken,11372
Papa Johns Pizza,11223
Crown Fried Chicken,11221
Dunkin Baskin Robbins,10035
Subway,11209
Dunkin,11436
Chick-Fil-A Queens Center Mall,11373
Popeyes Louisiana Kitchen,11415
Popeyes,11223
Burger King,10460
Subway,10002
Starbucks,10016
Popeyes,11225
Crown Fried Chicken Grill & Salad,11208
Kennedy Chicken,10462
La Ruta Del Taco,11421
Burger King,11412
Taco Bell,10003
Shake Shack,11201
Popeyes,10302
Texas Chicken And Burgers,10467
Dunkin' / Baskin-Robbins,11105
Dunkin',10457
Chicken Shack,11374
Panera Bread #9330,10016
Ocky Fried Chicken & Pizza,10451
Nashville Fried Chicken And Pizza,11377
Starbucks Coffee #53473,10006
Kennedy Fried Chicken,11420
"Dunkin', Baskin Robbins",11367
Halal Fried Chicken & Pizza,10457
Panda Express,10001
Dunkin,11216
"Dunkin',' Baskin Robbins",11208
Dunkin,11375
Kennedy Fried Chicken,10460
Crown Fried Chicken,11413
Dunkin',10038
Kfc,10003
Burger King,11419
"Subway, Krispy Krunchy Chicken",11420
Dunkin,10314
Domino's,10009
Starbucks,10023
Subway,10312
Kennedy Fried Chicken & Pizza,10470
Kennedy Chicken & Pizza,10035
Dunkin' / 'Baskin Robbins,11102
Lincoln Fried Chicken,10472
Dunkin',11375
Papa John's Pizza,10039
Kennedy Fried Chicken,11203
Starbucks Coffee # 75514,11201
Starbucks,10013
Domino's,10027
Crown Fried Chicken,11423
Dunkin' / Baskin Robbins,11372
"Dunkin',' Baskin Robbins",10310
Dunkin,10312
Panera Bread #7027,10017
Bayside Chicken Lovers,11361
Domino's,11422
Burger King,10302
Kennedy Fried Chicken,10453
Dunkin,11430
Papa John's Pizza,10466
Panda Express #2845,11432
Burger King,11103
Subway,10044
Popeyes Louisiana Kitchen,11368
New Texas Fried Chicken & Pizza,11377
Dunkin,10007
Dunkin,10024
Blazin Chicken & Gyro,10452
Papa John's Pizza,10029
Kennedy Fried Chicken & Pizza,10470
Dunkin',11209
Shake Shack,10475
Burger King,10466
Dominos,11224
Domino's,10469
Dunkin,11206
Subway,11209
Dunkin/Baskin,10303
Dunkin Donuts,11105
Five Guys Famous Burgers And Fries,10014
Dunkin,11101
Texas Chicken & Burgers,11220
Burger King,10452
Starbucks Coffee #48170,11215
Dunkin,10470
Subway,11234
Starbucks,10039
Starbucks,10038
Subway,10007
Kennedy Fried Chicken,10457
Bayside Chicken Lovers,11361
"Dunkin',' Baskin Robbins",11236
Popeyes Louisiana Kitchen,10001
"Crown Fried Chicken, Pizza & Coffee Shop",11208
Subway,10013
Taco Bell,10307
Mister Chicken Ii,11101
Dunkin,11372
Subway,10004
Texas Chicken & Burgers,10031
Dunkin,11415
Starbucks,10038
Garlic To The Chicken,11385
Subway,10038
Domino's,11374
Halal Grill & Fried Chicken,11207
Dunkin Baskin Robbins,11236
Starbucks,10024
Zhengxin Chicken Steak,11354
Dunkin,10018
Palace Fried Chicken & Pizza,11235
Crown Fried Chicken,11207
Popeyes,11427
Dunkin,10474
Dunkin' / Baskin Robbins,11385
Kfc,11414
Panda Express #2845,11432
Crown Fried Chicken,11432
Chipotle Mexican Grill,11201
Burger King,10038
Texas Chicken And Burgers,10029
Burger King,11423
Panera Bread,11385
Popeyes Louisiana Kitchen,11212
Dunkin,10003
Shake Shack New York,11234
Dunkin,10013
"Dunkin', 'Baskin Robbins",11375
Subway,10305
Domino's,11221
Johnny's Fried Chicken,10452
Chipotle Mexican Grill,10007
Kennedy Fried Chicken,10451
Kennedy Fried Chicken,11418
Chipotle Mexican Grill,10028
Double Chicken Please,10002
Burger King,10471
Popeyes,11203
786 Crown Chicken & Pizza,11233
Starbucks,10301
Crown Fried Chicken,11221
Taco Bell,10475
Lincoln Fried Chicken,10472
Kennedy Chicken & Pizza,10456
"Dunkin', Baskin Robbins",10462
Crown Fried Chicken,10029
Domino's,11221
Popeyes,10452
Dunkin' Donuts,10462
Taco Bell Cantina,10038
Subway,11234
Starbucks,10038
Starbucks,11356
Chipotle Mexican Grill,11210
Dunkin' / Baskin-Robbins,11105
New Wasakaka Fried Chicken,11207
Taco Bell,11226
Popeyes,11103
Domino's,11418
Subway,10036
Kfc,11354
Domino's,11429
Dunkin,11211
Kennedy Fried Chicken,11420
Kennedy Fried Chicken,10456
Dunkin,10018
Munch N' Grub Chicken,10457
Dunkin,11374
Munch N' Grub Chicken,10457
Dominos,11209
Daro's Pizza & Fried Chicken,11377
Kennedy Chicken,10461
Gyro Hub And Fried Chicken,11210
Dunkin,11222
Subway,11369
Bonchon Chicken,11358
Dunkin,11419
Pelicana Chicken,11104
Subway,10036
Kennedy Chicken,10462
Burger King,10459
"Dunkin', 'Baskin Robbins",11228
Dunkin,10314
Dunkin',11235
Tmb Grilled Chicken,11364
Taco Bell Cantina,11216
Starbucks,10007
Dunkin,10017
Starbucks #7378,10003
Starbucks,11430
Dunkin,11357
Subway,10036
Zhengxin Chicken Steak,11354
Popeyes,10460
Popeyes,10033
Subway,10466
Subway,10001
Wendy's,10469
Starbucks Marquis,10036
Popeyes,11205
Panda Express,11373
Shah's Halal Express & Castle Chicken And Burgers,10471
Dunkin,10034
Burger King,10472
Popeyes,11433
Starbucks,10301
Subway,10305
Starbucks Coffee,11373
Blazin Chicken & Gyro,10452
Krazy Chicken And Wings,11233
Taco Bell Cantina,10018
Dunkin,11229
Dunkin,10308
Panera Bread #6366,10463
Dunkin,10467
Popeyes,10029
Starbucks,11103
Starbucks,10038
Dunkin' / Baskin Robbins,11372
Koo Koo Chicken,11214
Dunkin,10455
Crown Fried Chicken,11216
Tex*S Chicken & Burgers,11354
Subway / Star Mini Mart,11354
Dunkin',11361
Crown Fried Chicken,11213
Dunkin,10017
Popeyes,10038
Popeyes,11204
Burger King,10471
Subway,10003
Adam's Chicken & Pocha,11354
Papa Johns Pizza,11223
Chipotle Mexican Grill,10029
Wendy's,10004
Chipotle Mexcian Grill # 2760,11101
Chipotle Mexican Grill,10016
Flamin' Chicken & Pizza,11207
Pelicana Chicken,10003
Kennedy Fried Chicken & Pizza,10455
Mad For Chicken,11211
Subway,10017
Chicken Stop,11201
"Dunkin', Baskin Robbins",11435
Kennedy Fried Chicken,10453
Burger King,10466
Caravan Chicken,11106
Dunkin,10014
"Burger King, Cinnabon",10001
Popeyes,11237
Dunkin,10016
Texas Chicken & Burgers,11432
Domino's,11435
Cauldron Chicken,10012
"Dunkin',' Hudson News",10121
Popeyes,11101
Pelicana Chicken,11104
Kentucky Fried Chicken,10029
Popeyes,10305
Halal Fried Chicken & Pizza,10457
Popeyes Louisiana Kitchen,11205
Dunkin Donuts,10472
Subway,10002
Taco Bell,11370
Dunkin,10036
Golden Chicken,11432
Burger King,11423
Dunkin,11372
Starbucks,10032
Popeyes,11372
Dunkin',11210
Crown Fried Chicken,11211
Popeyes,10003
Kennedy Chicken & Pizza,10453
Subway,10004
Chipotle Mexican Grill,10007
Dunkin',11209
Subway,11423
Starbucks,10010
Dunkin',10021
Dunkin' / Baskin Robbins,11215
Crown Fried Chicken,11221
Unidentified Flying Chicken,11372
Boongs Chicken,10022
Dunkin,10027
Dunkin',10019
Dunkin Donuts,10020
Subway Cafe,10036
Starbucks,10173
Popeyes,10014
Starbucks,11372
Popeyes,11105
Dunkin,10467
Dunkin,11239
Starbucks Coffee #50622,11206
Popeyes Louisiana Kitchen,11208
Dunkin,10461
Dunkin,11354
"Dunkin',' Baskin Robbins",10451
Domino's,10453
Dunkin,10005
Pelicana Chicken,11358
Kennedy Fried Chicken,10033
"Dunkin',' Baskin Robbins",10461
Burger King,10452
Subway,10305
Papa John's Pizza,10456
Chipotle Mexican Grill,10007
Subway,10003
Dango Chicken,11362
Wendy's,10314
Starbucks,11373
Popeyes,11423
Dunkin,11372
Starbucks,10016
Dunkin,11228
Texas Chicken & Burgers,11432
Dunkin,11375
Domino's,11205
Panda Express #2845,11432
Dunkin,10112
Crown Fried Chicken,11432
Subway,11418
Texas Chicken And Burgers,10467
Tmb Grilled Chicken,11364
Starbucks,11355
Subway,11101
Chipotle Mexican Grill,10010
Kennedy Fried Chicken,11420
Pelicana Chicken,11358
Starbucks,10017
Darbar's Chicken & Ribs,11419
Dunkin',11236
Subway,11354
Steve's Original Jerk Chicken,11203
Dunkin,10314
Kennedy Chicken And Burger,10466
"Dunkin',' Baskin Robbins",11432
Shake Shack New York,11234
Dunkin,11226
Kennedy Fried Chicken,10461
Rano's Chicken Burgers,10029
Kennedy Chicken And Burger,10466
Popeyes,10469
Dunkin,11418
Boongs Chicken,10021
Dunkin,10075
Starbucks,10016
Dunkin' / Baskin Robbins,11102
Subway,10001
Starbucks,11356
Subway,11237
Dunkin,10308
Popeyes,11373
Starbucks,10017
Popeyes,11208
Chicky's,11426
Dunkin,11358
Dunkin Donuts,10306
Dunkin,10467
Starbucks,10001
Papa Chicken,11355
Krispy Fried Chicken & Pizza,10452
Starbucks Coffee #49450,10475
Chipotle Mexican Grill,10027
Popeyes,11204
Chipotle Mexican Grill,10016
Popeyes,10002
Tkk Fried Chicken,11354
Dunkin,10306
Kfc,10001
Dunkin,10314
Pelicana Chicken,11375
Dunkin' / Baskin Robbins,11372
Burger King,10452
"Burger King, Popeyes",11234
Liberty Kennedy Fried Chicken & Pizza,11419
Subway,10465
Dave's Hot Chicken,10028
Popeyes,10029
Kfc,10458
"Dunkin',' Baskin Robbins",10458
Starbucks Coffee,11217
The Original American Chicken,11372
Dunkin',11206
Dunkin,10128
Starbucks Coffee,10025
Subway,11691
Kennedy Fried Chicken,11377
"Crown Fried Chicken, Pizza & Coffee Shop",11208
"Dunkin', Baskin Robbins",11220
Kfc,10001
Chipotle Mexican Grill,10023
Starbucks,10001
Taco Bell,10022
Dunkin,10308
Kennedy Fried Chicken,10462
Topaze Restaurant & Jerk Chicken,11234
Dunkin,11372
Subway,10466
Starbucks,10016
Kennedy Fried Chicken,11210
Pelicana Chicken,11104
Wendy's,11101
Burger King,11354
Chickpea,10121
Chick N' Baos,11228
Dunkin'/Baskin Robbins,10462
Panera Bread,11239
Starbucks,10301
Chicken Shack,10465
Starbucks,10027
Starbucks,11210
Apu Kennedy Fried Chicken,11434
Dunkin,11416
Taco Bell Pizza Hut,11432
Chipotle Mexican Grill,11249
Starbucks Coffee #53473,10006
Moonlite Grill & Chicken,11372
Five Guys,11210
Chipotle Mexican Grill #3957,10455
Kfc,11373
Subway,10029
Dominos,11224
Dunkin,10467
Dunkin,11358
Starbucks Coffee,10027
Chipotle Mexican Grill,10027
Topaze Restaurant & Jerk Chicken,11234
Popeyes,10302
Mad For Chicken,11361
Palace Fried Chicken & Pizza,11235
Darbar's Chicken & Ribs,11419
Fields Good Chicken,10016
Crown Fried Chicken,11208
Burger King,11106
Dunkin Donuts Baskin Robbins,11004
Dunkin,11692
Subway,10036
Dunkin,11372
Papa John's Pizza,10463
Dunkin,10308
Chipotle Mexican Grill #2407,11229
Popeyes,11236
Chipotle Mexican Grill,10010
Burger King #27012,10303
Chipotle Mexican Grill,10009
Panera Bread,10306
Dunkin,11235
"Dunkin',' Baskin Robbins",10458
Mister Chicken Ii,11101
Starbucks,10010
Kennedy Chicken & Pizza,10456
Popeyes,11423
Dunkin,10001
Crown Fried Chicken,11221
Chipotle Mexican Grill,11249
Dunkin' / Baskin Robbins,11368
Chicken Hot Pot,11355
Kennedy Chicken & Burgers,10037
Subway,11228
Dunkin,10308
Kennedy Fried Chicken,10002
Starbucks Coffee,10065
Dunkin,11224
Dunkin,11375
Taco Bell,10031
Wendys,11209
Popeyes,11201
Dunkin,11436
Subway,10022
Popeyes,11222
Dunkin,11417
Starbucks Corporation,11101
Dunkin',11210
Starbucks #7378,10003
Papa John's,10467
Subway,10007
Crown Fried Chicken,11413
Kennedy Fried Chicken,10452
Texas Chicken & Burgers,11235
Kennedy Chicken And Burgers,10027
Koji Chicken,10019
Starbucks Reserve,10011
Subway,11104
Subway,10036
Kfc,11411
Starbucks,10032
Wendys,11209
Dunkin,11418
Popeyes,10467
Pitkins Fish & Chicken,11213
Dunkin',10011
Dunkin,10003
Subway,10003
Dunkin Donuts,10306
Burger King,11416
Dunkin,10128
Panera Bread,11201
Starbucks,10019
Starbucks Coffee,10010
Domino's,11434
Kennedy Chicken Grill Seafood,11412
Popeyes,10467
Kansas Chicken & Burger,11225
The Chicken Shack,11106
Starbucks Coffee Company,10461
Kennedy Fried Chicken,10454
Papa John's Pizza,10029
Dunkin,11103
Subway,11421
Crown Fried Chicken & Pizza,11226
Kennedy Fried Chicken,10452
Dunkin,10310
Domino's,11434
"Burger King, Cinnabon",10001
Burger King,11419
Zhengxin Chicken Steak,11354
Legend Chicken,11354
"Taco Bell, Piattino, Green Leafs",10314
