"County","License Number","Operation Type","Establishment Type","Entity Name","DBA Name","Street Number","Street Name","Address Line 2","Address Line 3","City","State","Zip Code","Square Footage","Georeference"
"BRONX","738329","Store","AC","YANKEL DELI GROCERY CORP","YANKEL DELI GROCERY","266","EAST 143RD STREET",,,"BRONX","NY","10451",,"POINT (-73.92438 40.81516)"
"NASSAU","738323","Store","AC","LOTUS VALLEY STREAM GAS CORP","BP","1200","ROCKAWAY AVE",,,"VALLEY STREAM","NY","11581","1,200","POINT (-73.69101 40.65074)"
"SUFFOLK","738322","Store","ACD","GALIL IMPORTING CORP","GALIL FOODS","45","GILPIN AVE",,,"HAUPPAUGE","NY","11788","120,000","POINT (-73.22513 40.80615)"
"BRONX","738317","Store","AC","LUCKY 2 GOURMET DELI INC","LUCKY 2 GOURMET DELI","1007","E 163RD STREET ####",,,"BRONX","NY","10459",,"POINT (-73.89305 40.82097)"
"KINGS","738316","Store","AC","BROS BEST PRODUCE CORP","BROS BEST PRODUCE","7808","5TH AVENUE",,,"BROOKLYN","NY","11209","1,400","POINT (-74.02363 40.62706)"
"QUEENS","738314","Store","AC","MONTOYA DELI & GROCERY INC","MONTOYA DELI & GROCERY","96-02","NORTHERN BLVD. ##",,,"CORONA","NY","11368","2,500","POINT (-73.87209 40.75696)"
"FULTON","738313","Store","AC","WHAT SHARON LIKES INC","WHAT SHARON LIKES","318","HOUSEMAN ST",,,"MAYFIELD","NY","12117","800","POINT (-74.17576 43.18981)"
"KINGS","738311","Store","AC","BAMA FOOD CORP","BRAVO SUPERMARKET","785","GRAND STREET",,,"BROOKLYN","NY","11211",,"POINT (-73.94171 40.71183)"
"CHAUTAUQUA","738308","Store","AC","FADEL KHALED H","PRONTO MART 2","631","NEWLAND ST",,,"JAMESTOWN","NY","14701","2,000","POINT (-79.24128 42.08616)"
"KINGS","738297","Store","AC","597 LIVONIA MEAT CORP","ASSOCIATED FRESH","597","LIVONIA AVENUE",,,"BROOKLYN","NY","11207","8,000","POINT (-73.89546 40.66454)"
